# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
d96f0b30-c43e-47ba-bd7c-b295e2c7719f 5 0 26 0 3.7330232 274.6448 145.23776 0.43809524 8.077993 0.43809524 276 0.0 547.77374 10955.476 -10.099078
e5537cb9-ce59-4f99-845c-46a4e67d8141 5 0 26 1 3.2381718 183.04265 326.64517 0.47083333 7.557357 0.47083333 226 0.0 343.81104 6876.2207 -9.593374
2fd6c1c2-9d34-4ce4-b1cb-537df7e9e6d2 5 0 26 2 4.4468737 285.69556 301.23148 0.43650794 8.068226 0.43650794 275 0.0 425.91626 8518.325 -9.825886
cb6468de-e9bf-45dd-9553-74ad7a676cf7 5 0 26 3 4.227346 372.13763 332.25967 0.45324674 8.735255 0.45324674 349 0.0 340.14014 6802.803 -9.581719
23f1321e-1ed2-4cb8-a296-29e71b2b41c4 5 0 26 4 5.0728393 117.527405 105.128006 0.46320346 8.495106 0.46320346 321 0.0 479.5027 9590.054 -9.954553
c3297831-bf0d-475d-af66-ca1717dc6137 5 0 26 5 5.557276 479.66757 181.04594 0.47619048 7.710293 0.47619048 240 0.0 7739.9653 154799.31 -12.974422
fab2f735-4b99-4a58-bc60-bfc7a802f070 5 0 26 6 6.3351035 322.74448 343.30203 0.50555557 8.048618 0.50555557 273 0.0 459.6508 9193.016 -9.908645
8b494cc1-ded0-4042-92eb-532ff1b2d77b 5 0 26 7 6.189255 501.9657 184.20557 0.59166664 8.155299 0.59166664 284 0.0 472.88693 9457.738 -9.939468
9817e63a-e3bb-429f-aef1-e9d644652097 5 0 26 8 7.036315 225.67313 363.4551 0.50823045 7.784537 0.50823045 247 0.0 1367.6737 27353.475 -11.092531
363d03e3-4ee0-4e88-9619-dbf487a86cc8 5 0 26 9 6.9203005 326.23987 270.3098 0.42857143 8.305661 0.42857143 300 0.0 424.7451 8494.901 -9.822896
6842b50f-9c7d-45ce-8e67-a154571f1955 5 0 26 10 7.524692 128.36324 283.57623 0.48809522 7.7740173 0.48809522 246 0.0 400.1662 8003.324 -9.758176
43ae2cac-b3d8-4889-a75e-9f046ed30cae 5 0 26 11 9.469297 303.75836 305.6343 0.325 6.0682354 0.325 117 0.0 320.81143 6416.229 -9.5182
644587dd-4717-4f94-9288-6201fc465985 5 0 26 12 8.604461 440.6223 309.34564 0.5115741 7.5012083 0.5115741 221 0.0 19863.77 397275.38 -13.997729
96441fc0-c5da-41c9-b3c5-f868bff6c0e0 5 0 26 13 9.297018 312.56116 312.15787 0.5 6.2527413 0.5 128 0.0 348.17587 6963.5176 -9.607072
94af25a1-cfc7-47de-86df-957c850d1fb8 5 0 26 14 8.293169 410.6552 319.8266 0.5555556 7.710293 0.5555556 240 0.0 767.21063 15344.212 -10.464862
15e166c5-aff2-42d5-804a-4c7699f250e6 5 0 26 15 8.142381 153.4516 422.44205 0.5041152 7.7634687 0.5041152 245 0.0 2238.132 44762.64 -11.627289
76c8e135-4731-4e1f-9b59-6f0f9faafe3e 5 0 26 16 7.532637 318.4773 492.10477 0.5 7.4442058 0.5 216 0.0 15755.27 315105.4 -13.74614
71fd3c61-d318-44da-8b96-8714c2a1dc60 5 0 26 17 10.504196 97.687744 41.18381 0.50793654 7.87796 0.50793654 256 0.0 256.6576 5133.152 -9.27596
f81e19cd-cd21-47fb-a517-c40ad0ea29ad 5 0 26 18 9.3774 170.62723 49.419296 0.5208333 7.546194 0.5208333 225 0.0 3938.2876 78765.75 -12.240844
ec3e5680-8074-4ffc-af16-a305fbce22dc 5 0 26 19 9.34547 322.30038 101.05485 0.4356261 7.784537 0.4356261 247 0.0 10272.673 205453.45 -13.281784
b634a568-1a47-4c18-843a-75fa7849998d 5 0 26 20 11.358858 411.40213 291.0336 0.5625 7.742286 0.5625 243 0.0 224.98912 4499.7827 -9.132978
6fa82f00-7142-46ea-84ff-7f3c4bc63b83 5 0 26 21 10.681222 203.85075 320.45258 0.5493827 7.989217 0.5493827 267 0.0 580.77124 11615.425 -10.162588
7cd3d5f3-cbc3-4be1-8aa7-610404d06173 5 0 26 22 9.273964 205.03426 385.95502 0.43386245 7.7740173 0.43386245 246 0.0 17847.826 356956.53 -13.881538
c48efaaa-93a1-47a2-a260-06c86f8da88a 5 0 26 23 10.943717 107.083725 428.2387 0.6171875 7.678032 0.6171875 237 0.0 19637.797 392755.94 -13.985307
7c2c47c0-3d5e-4942-96c7-3da32f647e30 5 0 26 24 8.956683 320.67114 503.0622 0.5233333 6.693198 0.5233333 157 0.0 1628.4355 32568.71 -11.2820015
4ad26908-bd44-4b3f-8ee1-c5e3e215bafe 5 0 26 25 12.304898 68.78764 132.49902 0.4979424 7.7316513 0.4979424 242 0.0 624.7955 12495.91 -10.2419195
867c6985-78f2-410b-8239-29466819c504 5 0 26 26 14.204016 474.1977 34.203133 0.5020576 7.752892 0.5020576 244 0.0 2939.825 58796.5 -11.923379
93a29fb7-dfd0-4e0a-849a-d25abe4b3b73 5 0 26 27 13.292016 124.824554 62.6445 0.51028806 7.795028 0.51028806 248 0.0 485.46243 9709.249 -9.967964
1803029c-57f8-427e-ae9e-b671e3ec9c0c 5 0 26 28 13.58307 329.71124 118.83582 0.48971194 7.6888156 0.48971194 238 0.0 4096.685 81933.7 -12.283656
f227ce2d-11f4-4a5f-a7e4-37dbbf49ded6 5 0 26 29 13.833468 441.87253 288.37137 0.43209878 7.7634687 0.43209878 245 0.0 457.1089 9142.178 -9.902624
e733941d-8b26-4be0-a0c0-47edee34d31c 5 0 26 30 13.833256 74.43742 310.92896 0.47166666 8.145716 0.47166666 283 0.0 715.6283 14312.566 -10.389294
5ce534db-d7ef-4e16-9097-da87a3026305 5 0 26 31 13.0 350.69318 483.56512 0.48214287 7.742286 0.48214287 243 0.0 435.76093 8715.219 -9.850696
0a2c814f-5dd3-4a27-8061-277ada4ddf0f 5 0 26 32 15.255147 136.80136 102.732025 0.5 8.019028 0.5 270 0.0 601.7718 12035.436 -10.201155
c2cd4479-28bc-4eda-8993-585a23dac0fd 5 0 26 33 14.426031 256.04507 324.18054 0.61728394 8.305661 0.61728394 300 0.0 654.9055 13098.111 -10.293021
d2848fb8-32af-4fd9-85b9-3a89224d17a4 5 0 26 34 14.0 124.89678 374.39838 0.50823045 7.784537 0.50823045 247 0.0 474.62067 9492.413 -9.943441
a35165c6-c297-4ecc-8ea0-7618faa53a85 5 0 26 35 15.270231 86.621605 4.4501333 0.5949074 7.8882046 0.5949074 257 0.0 3732.3455 74646.91 -12.182529
963d5027-91e4-4e3e-8d4c-e8d072e90346 5 0 26 36 15.0 239.44154 11.249346 0.61904764 7.3511434 0.61904764 208 0.0 521.2426 10424.853 -10.045175
a63702e8-86e4-4cc6-aa0a-efa85e05adcf 5 0 26 37 15.212981 181.31697 35.29012 0.4940476 6.8187246 0.4940476 166 0.0 2061.4358 41228.72 -11.537999
4021a07c-9f62-4f57-abb7-0eb398792826 5 0 26 38 15.59461 107.70543 37.110497 0.40571427 8.155299 0.40571427 284 0.0 431.76413 8635.283 -9.840692
719e56c0-aa9c-4ef9-a6cb-bf34f7216d49 5 0 26 39 15.384364 299.89658 120.39861 0.4691358 7.9792304 0.4691358 266 0.0 602.9769 12059.538 -10.203326
8c7c04ec-dc9c-40a4-86bb-6c32e8cc950e 5 0 26 40 14.172157 44.378395 315.0941 0.5153061 7.279769 0.5153061 202 0.0 728.905 14578.102 -10.409252
9937a26d-bad0-4174-9f33-e36c512114cd 5 0 26 41 16.651922 11.386073 331.41583 0.5050505 8.305661 0.5050505 300 0.0 1130.2545 22605.092 -10.885515
6e7a1586-b8b4-4843-bf64-dafd43c0217c 5 0 26 42 16.395649 159.81003 439.27515 0.42539683 7.9991784 0.42539683 268 0.0 1025.9038 20518.076 -10.780341
650f6491-0229-479e-bd1f-5b26fa68aebc 5 0 26 43 16.20088 66.162895 500.01718 0.540404 8.495106 0.540404 321 0.0 631.2194 12624.389 -10.253026
4d0d9b34-1b27-4319-af3a-d260a57651bf 5 0 26 44 16.686419 348.8267 36.014694 0.5 4.962804 0.5 64 0.0 3029.6072 60592.14 -11.95604
7b6b0399-b3bc-4711-bb37-6a71d0914aa6 5 0 26 45 16.360493 149.07892 476.52417 0.4835391 7.656373 0.4835391 235 0.0 540.8196 10816.392 -10.085206
daa77690-aa04-4236-a41f-47b833e1fdd3 5 0 26 46 16.744091 348.79318 36.046967 0.47777778 6.8999076 0.47777778 172 0.0 4724.8716 94497.43 -12.43855
891e1401-19e3-49af-a407-c11bf190e57c 5 0 26 47 16.26011 143.01323 120.60178 0.4642857 8.530247 0.4642857 325 0.0 350.33426 7006.6855 -9.613782
173c28dc-e937-4102-9b1b-78639a16e0e9 5 0 26 48 18.324066 170.17 35.957073 0.4526749 7.489877 0.4526749 220 0.0 58809.83 1176196.6 -15.1762
13b56872-479f-46c2-b1a5-f8ee98600212 5 0 26 49 17.715734 485.21384 92.71308 0.43738976 7.795028 0.43738976 248 0.0 1554.2489 31084.979 -11.231377
b9aece45-f0df-4353-af34-c805fd64175b 5 0 26 50 18.182673 353.0325 105.75184 0.525463 7.568487 0.525463 227 0.0 764.9265 15298.53 -10.461624
3be68a45-4e3f-4475-93bd-c65102596831 5 0 26 51 17.726591 396.89728 132.71411 0.587963 7.857391 0.587963 254 0.0 258.7861 5175.722 -9.284927
c29d8a19-4be3-4aa2-bf11-4159553d4f17 5 0 26 52 18.259651 105.756516 250.86041 0.4585538 7.9187794 0.4585538 260 0.0 813.3761 16267.521 -10.528303
c6b91b4c-c79c-40a4-afb3-eca6532b49d9 5 0 26 53 17.0969 242.24753 302.9267 0.5537037 8.296422 0.5537037 299 0.0 497.6448 9952.8955 -9.994874
38cf2dbc-58f3-4c3a-979b-cec8e1444146 5 0 26 54 17.05808 477.59042 360.05994 0.41428572 8.212331 0.41428572 290 0.0 698.00146 13960.029 -10.362216
9256f073-0fc5-4d7f-a036-dd007953bd65 5 0 26 55 18.0 296.4417 483.7161 0.41468254 7.3629055 0.41468254 209 0.0 622.17114 12443.423 -10.2373495
5e0b9a28-48b4-40f7-ab5e-935323141107 5 0 26 56 20.127064 52.923218 4.025632 0.4250441 7.720987 0.4250441 241 0.0 3741.5566 74831.13 -12.185205
60051e3d-8ab5-44bb-8ce6-d5cf843bd3d5 5 0 26 57 20.259567 322.5452 146.99832 0.49382716 7.710293 0.49382716 240 0.0 5200.6997 104013.99 -12.542729
d6cb63c6-8eff-4b5a-a5c3-4123bd4d09f9 5 0 26 58 18.200811 210.48993 204.66566 0.4962963 7.9991784 0.4962963 268 0.0 466.34064 9326.8125 -9.924334
9d176d34-6680-468c-9b24-94c7562ed314 5 0 26 59 20.648514 171.28323 241.96297 0.52962965 8.174398 0.52962965 286 0.0 832.0844 16641.69 -10.552994
2fc95cf7-8b22-4bc9-83f0-ef622aa3e70a 5 0 26 60 19.0 36.40597 263.00272 0.43055555 7.455676 0.43055555 217 0.0 392.06302 7841.2603 -9.735965
1fcaf41a-5099-4c0c-abf5-292b41dc9692 5 0 26 61 19.865356 78.15513 297.3558 0.5617284 8.048618 0.5617284 273 0.0 609.0678 12181.356 -10.214239
1b8e7827-207f-411a-997d-a644efefc213 5 0 26 62 18.521032 302.3623 314.8314 0.49007937 7.784537 0.49007937 247 0.0 373.00833 7460.1665 -9.681871
4c571ea9-1c40-4d3e-a6dc-223539d4c3e0 5 0 26 63 20.69454 211.10704 363.4901 0.49330357 7.5012083 0.49330357 221 0.0 6537.4565 130749.13 -12.791097
e612236f-5c5f-4415-916e-21bf9968edd4 5 0 26 64 19.718874 299.7787 443.52786 0.45238096 7.5795846 0.45238096 228 0.0 7451.1567 149023.14 -12.933134
2d95161c-b621-48a6-983c-2ddfe56d2823 5 0 26 65 21.741291 223.46333 435.81714 0.45326278 7.8882046 0.45326278 257 0.0 704.3352 14086.704 -10.372024
a910fa5c-075f-41e1-bb4b-4a5db5eb8510 5 0 26 66 22.104362 306.80444 458.4693 0.38541666 6.562778 0.38541666 148 0.0 675.95905 13519.181 -10.327376
554a3bbc-d485-4ccb-9833-da43912131f5 5 0 26 67 21.713593 306.17508 458.81476 0.5520833 4.6604276 0.5520833 53 0.0 468.2025 9364.051 -9.928659
addcb71d-7ef0-40ad-a417-6265863c305a 5 0 26 68 23.832022 159.09103 96.87636 0.5963542 7.5906496 0.5963542 229 0.0 5504.5596 110091.195 -12.604382
6e32af67-2af1-4515-8736-20f225f6e998 5 0 26 69 22.646751 59.430664 377.0019 0.43857142 8.369764 0.43857142 307 0.0 416.3861 8327.722 -9.801315
da68285e-e171-4c00-bc0d-65452835c3a5 5 0 26 70 25.043623 44.00593 32.38175 0.5347222 7.612684 0.5347222 231 0.0 1089.2446 21784.893 -10.845388
d4aa295b-1a91-46d6-a396-f31491c4aaba 5 0 26 71 23.992971 127.30762 62.61971 0.5925926 8.193409 0.5925926 288 0.0 404.48328 8089.6655 -9.769826
07825213-cba2-4b12-a531-e8276c013a38 5 0 26 72 24.710331 176.45546 470.9813 0.41587302 7.939032 0.41587302 262 0.0 422.17487 8443.497 -9.816306
106082b8-503b-421d-8e68-4eaf40224a0b 5 0 26 73 27.362114 298.69717 81.25185 0.5546875 7.409581 0.5546875 213 0.0 2855.3225 57106.45 -11.891713
0a61d44f-3f8e-4fd0-96a5-3e268ea725e0 5 0 27 0 3.5161695 229.42822 21.52882 0.52916664 7.857391 0.52916664 254 0.0 670.0 13400.0 -10.317762
5631f44e-b934-4a3b-9fcd-58cf608b4b70 5 0 27 1 3.955259 289.89117 88.13502 0.44166666 4.6604276 0.44166666 53 0.0 1222.0 24440.0 -10.970253
2e0f5316-2ba5-4800-8f48-5e9d94a6a314 5 0 27 2 4.04616 289.87744 88.20867 0.46064815 7.2435503 0.46064815 199 0.0 1453.0 29060.0 -11.158239
9bef8976-82ca-44f0-ace6-a3744e206f7a 5 0 27 3 2.9031591 28.695976 222.31927 0.49166667 8.25926 0.49166667 295 0.0 330.0 6600.0 -9.54886
18e2170a-a1bd-45a4-9109-6c98df06bfe7 5 0 27 4 2.8761792 272.47293 332.50446 0.48214287 7.742286 0.48214287 243 0.0 335.0 6700.0 -9.565187
0c90b9b6-f413-46e9-bd3d-d0090b807f95 5 0 27 5 4.6812506 150.5687 111.26022 0.48636365 8.495106 0.48636365 321 0.0 725.0 14500.0 -10.40342
f62bb769-fd46-448a-84cd-559bbfdbec94 5 0 27 6 6.7577167 202.12102 145.29991 0.61904764 7.3511434 0.61904764 208 0.0 420.0 8400.0 -9.8106985
1e884113-793e-4276-9ad1-4502e9320489 5 0 27 7 5.7008715 480.0361 180.6721 0.49176955 7.699569 0.49176955 239 0.0 2810.0 56200.0 -11.874341
bced2d57-82af-434c-bdd6-e1a4f06fccc1 5 0 27 8 6.131636 228.38957 277.0774 0.5222222 8.13611 0.5222222 282 0.0 690.0 13800.0 -10.349698
12272b79-103e-4d5c-a9f9-2cfaef010c06 5 0 27 9 7.283974 129.01662 287.39328 0.52263373 7.857391 0.52263373 254 0.0 970.0 19400.0 -10.719504
dfc8d32c-23df-432e-b3bd-0a91d9ef3719 5 0 27 10 6.806678 319.05078 491.81198 0.43968254 8.087737 0.43968254 277 0.0 1194.0 23880.0 -10.945086
987d535f-e222-4db6-8e86-d8a13ec9a8c6 5 0 27 11 9.234012 85.59594 134.14021 0.5439815 7.656373 0.5439815 235 0.0 1109.0 22180.0 -10.864903
941e459e-aaab-4cc7-9eda-2c1fa4ec9dfa 5 0 27 12 9.26628 247.86891 157.19273 0.43386245 7.7740173 0.43386245 246 0.0 810.0 16200.0 -10.5237875
