# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
824a895a-219f-4e77-a929-1c2d0e640537 5 0 26 0 5.5584326 479.66733 181.04745 0.5888889 7.3979673 0.5888889 212 0.0 7739.9653 154799.31 -12.974422
fa2a6367-ec6c-432d-a397-b85329b8c9bf 5 0 26 1 6.189255 501.9657 184.20557 0.5125 8.183914 0.5125 287 0.0 472.88693 9457.738 -9.939468
08ef8841-b587-4535-9f9f-359ed697408a 5 0 26 2 6.3352003 322.74448 343.30222 0.4485714 8.432901 0.4485714 314 0.0 459.6508 9193.016 -9.908645
7c7619d5-01ba-4949-b9b4-0edcfd294197 5 0 26 3 7.036315 225.67313 363.4551 0.5 7.742286 0.5 243 0.0 1367.6737 27353.475 -11.092531
3723fbb4-64a5-4ef3-b869-4c543430355d 5 0 26 4 7.0 352.76193 485.26865 0.5185185 7.534998 0.5185185 224 0.0 387.64035 7752.807 -9.723647
406f477a-6409-44a8-a8ac-6dc5c7dd3a6e 5 0 26 5 5.0279126 345.65433 185.42088 0.5185185 8.116831 0.5185185 280 0.0 268.12332 5362.4663 -9.323411
80c0a19b-461c-4073-861d-0878dbf84148 5 0 26 6 6.920717 326.24008 270.3099 0.40857142 8.174398 0.40857142 286 0.0 424.7451 8494.901 -9.822896
b546a89e-4296-4f5c-8d59-f6ac708a5901 5 0 26 7 7.5246763 128.36313 283.57635 0.48412699 7.752892 0.48412699 244 0.0 400.1662 8003.324 -9.758176
171ecedd-f014-4ddc-8a93-ec5476e8edc5 5 0 26 8 8.604468 440.6223 309.34564 0.56084657 7.3979673 0.56084657 212 0.0 19863.77 397275.38 -13.997729
aed1d8db-d377-40e8-872a-010d3d32e13c 5 0 26 9 8.293169 410.6552 319.8266 0.5648148 7.752892 0.5648148 244 0.0 767.21063 15344.212 -10.464862
cc5bd340-952a-48cb-91f1-ceb909eca8f4 5 0 26 10 8.142393 153.45158 422.44208 0.5439815 7.656373 0.5439815 235 0.0 2238.132 44762.64 -11.627289
ac80188e-693e-4cc5-b867-4fa73fa6e991 5 0 26 11 7.532637 318.4773 492.10477 0.4861111 7.37463 0.4861111 210 0.0 15755.27 315105.4 -13.74614
10eb70a4-99a1-4da6-87ff-c68e3241168e 5 0 26 12 9.603834 175.43015 37.25431 0.52592593 8.155299 0.52592593 284 0.0 1261.2793 25225.586 -11.004603
35998ad5-f6d1-4474-8fc4-98de5d76fa95 5 0 26 13 9.377441 170.62721 49.419308 0.5208333 7.546194 0.5208333 225 0.0 3938.2876 78765.75 -12.240844
5649612a-2945-4248-b4d8-805ca72885bc 5 0 26 14 9.423087 304.0789 305.983 0.3779221 8.22176 0.3779221 291 0.0 348.17587 6963.5176 -9.607072
c1f9da23-5e32-4099-92db-0a4c9b36941c 5 0 26 15 8.956683 320.67114 503.0622 0.53333336 6.7355614 0.53333336 160 0.0 1628.4355 32568.71 -11.2820015
21613bc8-f06b-418c-b4db-cdce5d7b5426 5 0 26 16 10.504151 97.68788 41.18369 0.5349794 7.9187794 0.5349794 260 0.0 256.6576 5133.152 -9.27596
40e85ff8-df6b-49cf-b38d-dab0b5f3351c 5 0 26 17 9.345478 322.30038 101.05485 0.43386245 7.7740173 0.43386245 246 0.0 10272.673 205453.45 -13.281784
879850df-a8db-46f5-b1e5-ac589f611a3d 5 0 26 18 10.681274 203.85077 320.45258 0.5037037 8.038779 0.5037037 272 0.0 580.77124 11615.425 -10.162588
9fe88604-b999-404b-9000-ef607d02b002 5 0 26 19 9.273964 205.03426 385.95502 0.5020576 7.752892 0.5020576 244 0.0 17847.826 356956.53 -13.881538
cba3b247-0a3f-4dee-88fc-2f8ad7eb1c17 5 0 26 20 10.943717 107.083725 428.2387 0.5578704 7.720987 0.5578704 241 0.0 19637.797 392755.94 -13.985307
e70c81ac-6b3d-484d-a457-be001011e6fc 5 0 26 21 13.292016 124.824554 62.6445 0.56378603 8.058434 0.56378603 274 0.0 485.46243 9709.249 -9.967964
760224fc-f2f8-4c4b-b73c-30471b6176ee 5 0 26 22 12.304898 68.78764 132.49902 0.46296296 7.8159266 0.46296296 250 0.0 624.7955 12495.91 -10.2419195
c419f4ff-b0a3-4d1b-b64d-c0c02aa9edd6 5 0 26 23 13.577606 329.71497 118.84407 0.27864584 5.8901777 0.27864584 107 0.0 4096.685 81933.7 -12.283656
8cb90909-74cb-4431-a0fc-36fa9017c008 5 0 26 24 13.833297 441.87256 288.3713 0.43209878 7.7634687 0.43209878 245 0.0 457.1089 9142.178 -9.902624
11e4f158-d3f2-4845-bfef-2d72ee49e9bd 5 0 26 25 13.0 350.69315 483.56516 0.47420636 7.699569 0.47420636 239 0.0 435.76093 8715.219 -9.850696
1cdbac00-9f83-44e1-9f07-c0183fd4109f 5 0 26 26 13.635199 329.66483 118.902855 0.26587301 6.3489523 0.26587301 134 0.0 3940.1392 78802.78 -12.241354
b2221dc5-314b-49f9-ad2e-588c3f846ff7 5 0 26 27 13.819828 74.442116 310.9969 0.475 8.16486 0.475 285 0.0 715.6283 14312.566 -10.389294
e55612e1-07a7-41ab-a7ac-bd19370ab3b8 5 0 26 28 14.204016 474.1977 34.203133 0.5041152 7.7634687 0.5041152 245 0.0 2939.825 58796.5 -11.923379
1d5e39fd-5cd0-4d10-bfa2-eba3f9739848 5 0 26 29 14.3505535 256.2085 324.45285 0.54444444 5.720173 0.54444444 98 0.0 634.25073 12685.015 -10.258227
0643897d-b09f-48fc-9499-849b1a0d5328 5 0 26 30 15.270231 86.621605 4.4501333 0.6015625 7.612684 0.6015625 231 0.0 3732.3455 74646.91 -12.182529
13c2df8e-52cc-410b-bed0-9b14fce68be8 5 0 26 31 15.384364 299.89658 120.39861 0.6074074 7.7740173 0.6074074 246 0.0 602.9769 12059.538 -10.203326
305a25bd-ef52-46a7-b626-2b88a97501ad 5 0 26 32 14.477044 256.134 324.08994 0.49382716 7.2556634 0.49382716 200 0.0 654.9055 13098.111 -10.293021
8fac4f35-b083-48d0-a93e-7463fd3e540c 5 0 27 0 8.244234 412.904 319.30566 0.646875 7.339344 0.646875 207 0.0 9132.0 182640.0 -13.15399
c9d3c9bc-4e65-4d1a-a55d-5b87931a1959 5 0 27 1 9.492175 170.3776 48.079494 0.41587302 7.939032 0.41587302 262 0.0 28396.0 567920.0 -14.385718
19e4fcc8-276b-425e-bc75-25fed838ca1c 5 0 27 2 9.656966 406.5127 294.89886 0.47325101 7.6016827 0.47325101 230 0.0 7378.0 147560.0 -12.922421
fe0369cc-d6da-4688-b882-48dabfd57e50 5 0 27 3 8.643684 440.48788 307.85782 0.54320985 7.489877 0.54320985 220 0.0 1813.0 36260.0 -11.398569
cfb0e2a3-8987-443b-8bd0-11b3ebd0b62f 5 0 27 4 9.55339 167.78595 326.61783 0.5537037 8.296422 0.5537037 299 0.0 705.0 14100.0 -10.373048
88371530-0681-482c-bb35-c993961d9ce1 5 0 27 5 9.956277 100.182365 331.465 0.5185185 8.249917 0.5185185 294 0.0 893.0 17860.0 -10.6297035
35295151-6d63-4ad4-956f-adca53576a7d 5 0 27 6 11.10294 74.57716 6.7898955 0.4925926 7.9792304 0.4925926 266 0.0 798.0 15960.0 -10.507583
