# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
224bfefb-4d5c-4ddd-b72b-304fc71b0db7 5 0 26 0 5.4771595 479.79538 180.98201 0.47272727 7.9187794 0.47272727 260 0.0 1.0544412 21.088823 -3.3101308
0bc984ef-75b4-4306-abd8-80323672edd8 5 0 26 1 7.141505 225.67387 363.38916 0.6 3.8551464 0.6 30 0.0 0.33022177 6.6044354 -2.0495892
01884cd4-31e8-46f1-80a9-98b2e00637f3 5 0 26 2 7.2662525 318.5854 492.07147 0.5092593 9.436654 0.5092593 440 0.0 1.0634869 21.26974 -3.3194053
db811dd1-eb14-45df-bbb5-a4e13d66dfdb 5 0 26 3 9.390485 170.63145 49.426662 0.4454365 9.500561 0.4454365 449 0.0 1.0274379 20.54876 -3.281964
852907d6-5c98-4551-8aca-954bf4cb3f5f 5 0 26 4 8.686468 322.56204 100.51441 0.384127 9.74127 0.384127 484 0.0 1.0572377 21.144754 -3.3130066
d5a40d78-3f84-4629-9947-26c2c4ca45ec 5 0 26 5 8.376934 440.7 309.1413 0.4675926 8.333255 0.4675926 303 0.0 1.069549 21.39098 -3.3255768
b4f4652b-75a8-4c6b-aa97-7431d4d4802e 5 0 26 6 8.475376 205.1798 385.56564 0.4759087 10.244795 0.4759087 563 0.0 1.0646588 21.293175 -3.320601
8da06dd6-8e38-4c45-a400-f8ad76589d8c 5 0 26 7 8.169856 153.41649 422.45038 0.585034 5.4764605 0.585034 86 0.0 0.6374636 12.749272 -2.7637134
db876472-9c2d-4bd1-8b3c-dafe86da068d 5 0 26 8 9.540061 175.35312 37.14011 0.74 4.1342907 0.74 37 0.0 0.26518828 5.303766 -1.8114609
464b6448-b570-4890-9ec7-7ebba3abeed5 5 0 26 9 8.803908 53.19789 248.65082 0.7916667 3.3106885 0.7916667 19 0.0 0.09351549 1.87031 -0.67978394
cbf198ad-7293-4d37-82d1-b395330e2ef9 5 0 26 10 9.631931 39.309875 63.386715 0.5925926 5.9805317 0.5925926 112 0.0 0.19743377 3.9486754 -1.4911286
40e4b34f-f5cd-4072-bfb0-dd953e9d37fc 5 0 26 11 11.711494 288.56735 181.29538 0.65625 3.4229999 0.65625 21 0.0 0.102069214 2.0413842 -0.7748119
d2ce76d6-e54b-40de-aa92-9511e025bed2 5 0 26 12 10.150009 53.414684 259.5496 0.30277777 5.92665 0.30277777 109 0.0 0.17838371 3.5676742 -1.380963
09e6ebfe-a65c-446c-b9b3-cba7421ba2a3 5 0 26 13 10.425312 107.25474 427.93787 0.45393068 10.084598 0.45393068 537 0.0 1.0659158 21.318317 -3.3218822
d7113d4b-c975-47b9-95e6-c471dc81618a 5 0 26 14 12.9667845 330.23596 114.0 0.2704762 8.155299 0.2704762 284 0.0 1.0447159 20.894318 -3.3000705
3c425bc7-d282-48d3-80e8-66ff2a62af37 5 0 26 15 14.222596 474.1894 34.20034 0.5782313 5.455151 0.5782313 85 0.0 0.93216807 18.643362 -3.1763105
2356a8ff-5c2f-4a65-b379-6b7e2cc45aa4 5 0 26 16 16.629843 169.85178 33.513657 0.41263157 11.440346 0.41263157 784 0.0 1.0410271 20.820541 -3.29623
a9b9c751-2a83-40ff-a217-968908200cb0 5 0 26 17 16.591059 348.83774 35.978798 0.7755102 5.2553906 0.7755102 76 0.0 1.056796 21.13592 -3.312553
c5802172-2ec4-4ba1-9ce3-2d405bec01c4 5 0 26 18 15.430406 57.52425 250.5721 0.5535714 5.621188 0.5535714 93 0.0 0.17227194 3.4454386 -1.3431113
7833f01f-505e-465a-85f9-fb56d7d9c3ff 5 0 26 19 16.464857 159.99377 439.5595 0.31333333 5.641264 0.31333333 94 0.0 0.19506621 3.901324 -1.4780301
6bb908a0-5a13-4456-8617-6e458cfc1ae7 5 0 27 0 8.998773 170.4621 47.80415 0.38169643 10.931653 0.38169643 684 0.0 1.0 20.0 -3.252575
5c463462-c331-4809-b89c-524ae91b823c 5 0 27 1 8.591095 440.4624 307.92377 0.65 3.6755717 0.65 26 0.0 0.2643595 5.28719 -1.8080623
b261a3a8-e4a3-4f51-81f9-1d4b9407fecc 5 0 27 2 8.507109 412.9544 319.0701 0.42857143 5.1615243 0.42857143 72 0.0 1.0 20.0 -3.252575
fb739788-b28a-4dee-8151-85c9dc1ddd52 5 0 27 3 7.179117 226.99915 364.9179 0.49166667 6.96613 0.49166667 177 0.0 1.0 20.0 -3.252575
afb2a374-dcfd-42e4-981c-b8bd305d95b2 5 0 27 4 7.7685175 323.71237 400.41028 0.44444445 4.7467513 0.44444445 56 0.0 0.10038596 2.007719 -0.7567574
45e67d4d-0115-4b25-9f71-37c44fa25467 5 0 27 5 7.4704695 155.14835 420.06177 0.5611111 7.279769 0.5611111 202 0.0 1.0 20.0 -3.252575
