# %ECSV 1.0
# ---
# datatype:
# - {name: reference file, datatype: string}
# - {name: aligned file, datatype: string}
# - {name: blockXY, datatype: int64}
# - {name: 'ROI #', datatype: int64}
# - {name: label, datatype: string}
# - {name: block_i, datatype: int64}
# - {name: block_j, datatype: int64}
# - {name: shift_z, datatype: float32}
# - {name: shift_x, datatype: float32}
# - {name: shift_y, datatype: float32}
# - {name: quality_xy, datatype: float32}
# - {name: quality_zy, datatype: float32}
# - {name: quality_zx, datatype: float32}
# schema: astropy-2.0
"reference file" "aligned file" blockXY "ROI #" label block_i block_j shift_z shift_x shift_y quality_xy quality_zy quality_zx
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 0 0.56 0.29 0.03 0.73014665 0.82449335 0.7761153
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 1 0.61 0.09 -0.16 0.51689076 0.4619307 0.43991324
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 2 0.61 0.05 0.09 0.24694508 0.3700702 0.35075435
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 3 0.74 0.09 0.2 0.7261911 0.8486174 0.8507697
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 0 0.46 0.26 -0.04 0.64215076 0.6385553 0.5499279
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 1 -12.02 46.82 -48.0 1.2050341 1.2067498 1.2896134
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 2 0.68 0.17 0.03 0.4487902 0.3876581 0.50356776
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 3 0.57 -0.29 -0.35 0.97799593 1.0864373 0.9838064
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 0 0.82 0.08 -0.13 0.80880183 0.9376189 0.9349692
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 1 0.59 0.09 -0.05 0.76312864 0.8673549 0.96206427
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 2 9.21 7.25 -0.37 0.5092119 0.59877336 0.61937344
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 3 0.59 0.03 0.12 0.99850696 1.0744689 1.0330714
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 0 0.53 0.22 0.09 0.7505655 0.83911145 0.66431403
scan_001_RT27_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 1 0.53 0.09 -0.04 0.6744861 0.69503087 0.6692688
