# %ECSV 1.0
# ---
# datatype:
# - {name: reference file, datatype: string}
# - {name: aligned file, datatype: string}
# - {name: blockXY, datatype: int64}
# - {name: 'ROI #', datatype: int64}
# - {name: label, datatype: string}
# - {name: block_i, datatype: int64}
# - {name: block_j, datatype: int64}
# - {name: shift_z, datatype: float32}
# - {name: shift_x, datatype: float32}
# - {name: shift_y, datatype: float32}
# - {name: quality_xy, datatype: float32}
# - {name: quality_zy, datatype: float32}
# - {name: quality_zx, datatype: float32}
# schema: astropy-2.0
"reference file" "aligned file" blockXY "ROI #" label block_i block_j shift_z shift_x shift_y quality_xy quality_zy quality_zx
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 0 0.64 -0.19 -0.25 0.7700125 0.70433795 0.7906038
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 1 0.7 -0.15 -0.35 0.50668526 0.38313356 0.3881582
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 2 0.66 -0.16 -0.1 0.2387352 0.28097427 0.23352595
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 0 3 0.85 -0.03 -0.14 0.75003797 0.78006274 0.75535965
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 0 0.55 0.0 -0.45 0.7106321 0.7058646 0.5861215
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 1 -12.06 46.31 -48.31 1.1093836 1.135545 1.200147
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 2 0.86 0.06 -0.16 0.5969554 0.508291 0.67422557
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 1 3 0.6 -0.43 -0.7 0.9790959 1.0716202 0.98136467
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 0 1.12 0.06 -0.7 0.76298416 0.81451964 0.84689486
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 1 0.71 0.17 -0.55 0.583965 0.6843585 0.57569474
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 2 9.43 7.41 -0.18 0.59398746 0.63642395 0.66431326
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 2 3 0.69 -0.09 -0.16 0.97601837 1.0627202 1.0247364
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 0 0.58 0.06 -0.36 0.8345561 0.88416606 0.7601951
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 1 0.7 0.21 -0.27 0.6560798 0.6649543 0.6011181
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 2 0.61 0.06 0.52 0.7635837 0.742854 0.73924893
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_DAPI_005_ROI_converted_decon_ch01.tif 128 5 DAPI 3 3 1.38 0.14 -0.6 0.92471 0.81918913 0.8694151
scan_001_RT26_005_ROI_converted_decon_ch00.tif scan_001_RT27_005_ROI_converted_decon_ch00.tif 128 5 RT27 0 0 0.08 -0.26 -0.03 0.4688668 0.40361863 0.475505
