# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
147bb462-ba8d-457f-9d42-3a69e84b0b43 5 0 26 0 7.400985 121.703026 288.7255 0.62666667 8.13611 0.62666667 282 0.0 397.0 7940.0 -9.749551
dc63f259-90a6-4c21-bec0-e541e61c513b 5 0 26 1 7.0 341.69916 189.48587 0.5151515 8.6595125 0.5151515 340 0.0 273.0 5460.0 -9.342981
77b74fdd-1a14-4fac-adf0-50b2b28918a3 5 0 26 2 9.484907 297.16943 310.57608 0.4 5.433674 0.4 84 0.0 319.0 6380.0 -9.512052
b978184f-ea4e-4fad-a0ce-d9e1d45ed564 5 0 26 3 9.44971 297.49536 311.03644 0.31944445 3.5283885 0.31944445 23 0.0 234.0 4680.0 -9.175614
3e00ee18-c29c-4ca8-b7bf-f07138c184ee 5 0 26 4 8.605466 434.07846 314.39978 0.4702381 7.678032 0.4702381 237 0.0 21869.0 437380.0 -14.102147
d8aac88d-b1bd-4a6d-8b42-39b80e92a2c8 5 0 26 5 9.308193 305.91364 317.22168 0.5234375 6.3489523 0.5234375 134 0.0 349.0 6980.0 -9.609638
722a3378-3410-40e5-bd7f-1f67c20fb84c 5 0 26 6 8.293234 404.10974 324.87775 0.47942388 7.6345906 0.47942388 233 0.0 781.0 15620.0 -10.484202
367bcad6-bbed-4eb6-8321-cec92b298b98 5 0 26 7 9.273233 198.4917 391.0104 0.5123457 7.8054914 0.5123457 249 0.0 17144.0 342880.0 -13.837855
244e5002-2f28-4f1e-bd58-0f135b48ce80 5 0 26 8 8.14223 146.88562 427.49106 0.6432292 7.784537 0.6432292 247 0.0 2255.0 45100.0 -11.635442
a4567b37-bdea-4853-ae45-49a4da79624a 5 0 26 9 7.5337105 311.93323 497.1591 0.65 7.3511434 0.65 208 0.0 16743.0 334860.0 -13.812159
