# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
428ecd10-d49f-4d28-a072-220c519d4a24 5 0 26 0 8.603487 434.07947 314.40048 0.5095238 11.267505 0.5095238 749 0.0 21869.0 437380.0 -14.102147
af86e455-7aa7-4fe8-8ad0-a3fe3378bd80 5 0 26 1 7.03502 219.12506 368.5051 0.57653064 5.998278 0.57653064 113 0.0 1382.0 27640.0 -11.103845
a3e70d1e-5ddb-4631-bfba-1b2b1fd1d47d 5 0 26 2 9.125524 198.5571 390.73935 0.49375 12.188116 0.49375 948 0.0 17144.0 342880.0 -13.837855
85908a17-f8d1-4821-a32f-c4974e814c05 5 0 26 3 7.5337105 311.93323 497.1591 0.52623904 11.130453 0.52623904 722 0.0 16743.0 334860.0 -13.812159
26829c5a-03a8-429f-9c2f-1d7fdf4ab062 5 0 26 4 9.588417 168.83897 42.188904 0.6333333 4.774839 0.6333333 57 0.0 1261.0 25220.0 -11.004363
fb5d0ec5-abb9-458a-8409-6352da016770 5 0 26 5 9.653694 260.78787 243.98427 0.4330357 5.7006497 0.4330357 97 0.0 522.0 10440.0 -10.046751
ba166a06-c9a3-4347-ab98-000aafe6406d 5 0 26 6 8.995777 46.643272 252.95947 0.6666667 5.680992 0.6666667 96 0.0 789.0 15780.0 -10.495268
d3f51d1a-97d2-4abc-a854-41fbeb4ab752 5 0 26 7 9.372331 46.898304 264.6145 0.36805555 4.6604276 0.36805555 53 0.0 972.0 19440.0 -10.721741
2cbc2316-d9a0-44eb-b6a2-befd91797e5e 5 0 26 8 9.847489 35.678387 318.41025 0.5371901 7.9187794 0.5371901 260 0.0 596.0 11920.0 -10.190691
d53c3944-cef9-42cb-b41a-37f4898d0873 5 0 26 9 8.292575 404.11392 324.87973 0.42 4.31271 0.42 42 0.0 781.0 15620.0 -10.484202
b062d24a-8138-4ec4-8a97-16d3ee5750f9 5 0 26 10 7.5069757 317.16785 406.08472 0.5510204 5.3682013 0.5510204 81 0.0 686.0 13720.0 -10.343386
368d0f33-7dd7-48eb-930b-8173f5f7343a 5 0 26 11 8.658445 72.14822 411.59485 0.5873016 5.20888 0.5873016 74 0.0 637.0 12740.0 -10.262923
761eda31-2ea7-4576-9b00-75a7967a2973 5 0 26 12 8.145669 146.91992 427.50287 0.53571427 5.5600834 0.53571427 90 0.0 2255.0 45100.0 -11.635442
62f8611a-bd42-4920-bf3a-0811556086d0 5 0 26 13 8.533603 341.6561 475.66418 0.5222222 4.477474 0.5222222 47 0.0 448.0 8960.0 -9.88077
bc62bc5c-3149-4814-9608-f12f5b1f24dc 5 0 26 14 10.159859 458.58118 14.957837 0.5654762 5.6611977 0.5654762 95 0.0 564.0 11280.0 -10.130773
00661493-e156-4bc4-99c4-a20f93a37417 5 0 26 15 9.383304 164.08443 54.48015 0.47407407 7.157602 0.47407407 192 0.0 4050.0 81000.0 -12.271213
386a6c0c-8f3d-4c9a-8389-534d51faeb63 5 0 26 16 9.595871 32.74956 68.35862 0.52678573 6.0854745 0.52678573 118 0.0 1100.0 22000.0 -10.856057
56b41e42-11e4-4be6-9809-4f84093df07d 5 0 26 17 10.46454 211.1565 82.49829 0.7037037 5.2553906 0.7037037 76 0.0 746.0 14920.0 -10.4344225
e6b919ed-82f3-4bbc-8ff8-136e2cda1f94 5 0 26 18 9.344526 315.7559 106.10896 0.39571428 8.087737 0.39571428 277 0.0 10670.0 213400.0 -13.322986
611a4a8d-ab7f-41b4-843a-63372d779d97 5 0 26 19 10.535872 499.92172 148.64711 0.41 4.2782063 0.41 41 0.0 467.0 9340.0 -9.925867
ea73a67a-96f2-4a4a-ad3c-c960ce75b988 5 0 26 20 9.598437 46.865574 265.00073 0.2857143 3.93898 0.2857143 32 0.0 1029.0 20580.0 -10.783613
89f8184e-c4d0-459b-acc3-ce8b6f172e37 5 0 26 21 10.9084835 35.230553 291.23395 0.66 3.979591 0.66 33 0.0 599.0 11980.0 -10.196142
ef5552a0-2a3d-4915-9a01-716b3096ef1a 5 0 26 22 10.514968 36.26032 305.34055 0.43333334 4.6309304 0.43333334 52 0.0 646.0 12920.0 -10.278156
44320ef5-69b2-4c79-8b03-da2eccf4c1ab 5 0 26 23 10.92536 100.5503 433.29514 0.40565416 10.562389 0.40565416 617 0.0 18508.0 370160.0 -13.920974
e6817f55-89b1-40e2-8e2e-2ff9e6ed2696 5 0 26 24 10.949676 282.57138 482.34308 0.475 6.3331194 0.475 133 0.0 536.0 10720.0 -10.075487
df7e3b0d-aaba-431b-a798-6973504a1867 5 0 26 25 9.877818 314.7321 509.0 0.45185184 6.1534743 0.45185184 122 0.0 3438.0 68760.0 -12.09334
a0575502-48a1-445b-81ce-69ca5702dbed 5 0 26 26 14.202979 467.65338 39.256363 0.50510204 5.7395635 0.50510204 99 0.0 2839.0 56780.0 -11.8854885
d419092f-3ed9-4f54-80cb-d426d47023c0 5 0 26 27 13.579019 323.17325 123.89467 0.45357144 6.2364154 0.45357144 127 0.0 4285.0 85700.0 -12.332452
6ff40dec-daa3-4424-aac6-5b931899df05 5 0 26 28 14.1673765 111.706696 201.96556 0.6666667 4.243138 0.6666667 40 0.0 756.0 15120.0 -10.448879
57a2d3e4-3250-44ec-b894-5855a7d77e5a 5 0 26 29 14.409728 249.4342 329.2535 0.39814815 4.346669 0.39814815 43 0.0 671.0 13420.0 -10.319382
f8f7ffe8-7cf1-4758-a2b2-7ff2d4c07857 5 0 26 30 15.270371 80.07942 9.505226 0.55803573 6.203505 0.55803573 125 0.0 3775.0 75500.0 -12.194867
7e41008a-68d4-45ad-8c91-02131e5c7420 5 0 26 31 15.3845 50.990574 255.61409 0.52 4.2074795 0.52 39 0.0 1019.0 20380.0 -10.77301
