# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
0645e3b2-2846-4cc9-9b9d-9a13e3da1b61 5 0 26 0 7.400985 121.703026 288.7255 0.62666667 8.13611 0.62666667 282 0.0 397.0 7940.0 -9.749551
1dac21ba-e851-450c-bbc8-efc1d0f4af11 5 0 26 1 7.0 341.69916 189.48587 0.5151515 8.6595125 0.5151515 340 0.0 273.0 5460.0 -9.342981
2c39a3a3-660f-48d8-84bf-a2aa14aafbba 5 0 26 2 9.484907 297.16943 310.57608 0.4 5.433674 0.4 84 0.0 319.0 6380.0 -9.512052
32b569e0-175f-474f-a7c1-e21337495ed9 5 0 26 3 9.44971 297.49536 311.03644 0.31944445 3.5283885 0.31944445 23 0.0 234.0 4680.0 -9.175614
4aaaf85d-efc5-46ea-b16c-94bf466a9c88 5 0 26 4 8.605466 434.07846 314.39978 0.4702381 7.678032 0.4702381 237 0.0 21869.0 437380.0 -14.102147
6bc69b29-64ef-4647-b3eb-b65f3d2aa773 5 0 26 5 9.308193 305.91364 317.22168 0.5234375 6.3489523 0.5234375 134 0.0 349.0 6980.0 -9.609638
9f6851fa-a1d0-4a25-95bc-c108b5a4fc70 5 0 26 6 8.293234 404.10974 324.87775 0.47942388 7.6345906 0.47942388 233 0.0 781.0 15620.0 -10.484202
d378636f-e2a9-4501-9058-807f77afd98f 5 0 26 7 9.273233 198.4917 391.0104 0.5123457 7.8054914 0.5123457 249 0.0 17144.0 342880.0 -13.837855
c5fab0c3-3808-4bfd-a55e-f9887f01c04c 5 0 26 8 8.14223 146.88562 427.49106 0.6432292 7.784537 0.6432292 247 0.0 2255.0 45100.0 -11.635442
f35de27c-3791-4a20-8b9b-64aa8a5f461e 5 0 26 9 7.5337105 311.93323 497.1591 0.65 7.3511434 0.65 208 0.0 16743.0 334860.0 -13.812159
92c94208-f2fe-4d3e-947b-553ae8448af0 5 0 26 10 9.375255 164.0854 54.46762 0.5494792 7.3863173 0.5494792 211 0.0 4050.0 81000.0 -12.271213
e7951031-a970-4a46-917b-26b778b79b5c 5 0 26 11 9.344526 315.7559 106.10896 0.52263373 7.857391 0.52263373 254 0.0 10670.0 213400.0 -13.322986
876a4e8a-9469-4a01-be26-499c18138fbb 5 0 26 12 11.359194 404.81708 296.10492 0.49588478 7.720987 0.49588478 241 0.0 225.0 4500.0 -9.133031
f13c3c12-7c26-41c7-851d-263916a0cdfd 5 0 26 13 10.92536 100.5503 433.29514 0.5069444 7.4785113 0.5069444 219 0.0 18508.0 370160.0 -13.920974
0aa28922-59fa-4022-a512-e01143045419 5 0 26 14 10.0 91.18856 45.921684 0.48853615 8.087737 0.48853615 277 0.0 259.0 5180.0 -9.285825
c37cb1a8-ffc3-4d0e-a0bb-4073c697638a 5 0 26 15 10.691309 197.28267 325.51117 0.56458336 8.028915 0.56458336 271 0.0 575.0 11500.0 -10.151745
617a1939-c744-4eb1-81a7-fdec9fc91abb 5 0 26 16 13.2952 118.265816 67.691536 0.5205761 7.847066 0.5205761 253 0.0 484.0 9680.0 -9.964688
480942c6-5ad4-41e6-b872-284f5ab783b3 5 0 26 17 12.252917 62.236023 137.60344 0.52674896 7.87796 0.52674896 256 0.0 622.0 12440.0 -10.237051
a6aa083d-f9ee-410e-af0d-00cf85bf170a 5 0 26 18 15.271018 80.07624 9.503287 0.5925926 7.87796 0.5925926 256 0.0 3775.0 75500.0 -12.194867
330485db-49f8-4124-8ffc-05eeacbd005d 5 0 26 19 14.202979 467.65338 39.256363 0.5185185 7.836714 0.5185185 252 0.0 2839.0 56780.0 -11.8854885
fcba63b7-337c-4f25-a42c-d73db9d38559 5 0 26 20 14.963472 130.4017 107.82792 0.48853615 8.087737 0.48853615 277 0.0 604.0 12080.0 -10.205168
9fd0d5ff-4d9d-4f50-8dcb-a60671f216ad 5 0 26 21 13.582061 323.1749 123.888695 0.4303351 7.752892 0.4303351 244 0.0 4285.0 85700.0 -12.332452
57091e0f-96e8-4a7a-b862-0ffd19c98043 5 0 26 22 13.799098 343.0952 177.5757 0.43738976 7.795028 0.43738976 248 0.0 195.0 3900.0 -8.977661
fb528511-e984-4501-91ba-7f10cde1dacc 5 0 26 23 13.815862 435.32043 293.4482 0.43386245 7.7740173 0.43386245 246 0.0 459.0 9180.0 -9.907106
ffd77fa4-9f58-4bb8-af7c-09f472b0d0de 5 0 26 24 13.821866 67.804474 315.94492 0.54814816 8.268581 0.54814816 296 0.0 709.0 14180.0 -10.37919
c1cb2a00-8d68-4165-bb14-ac87fb2d436b 5 0 26 25 14.402901 249.49333 329.21588 0.53518516 8.202881 0.53518516 289 0.0 671.0 13420.0 -10.319382
ece07ab5-84c5-4042-8d45-c87f4c358f6c 5 0 26 26 15.457153 118.2191 379.47076 0.5694444 7.7740173 0.5694444 246 0.0 479.0 9580.0 -9.953414
e6559293-eb6e-4c7d-ba38-7a935ec5affc 5 0 26 27 14.135569 61.146423 480.18378 0.47619048 8.019028 0.47619048 270 0.0 448.0 8960.0 -9.88077
a6b7000a-3cd4-4630-b02c-98cc82665e22 5 0 26 28 13.0 344.03107 488.46014 0.5578704 7.720987 0.5578704 241 0.0 431.0 8620.0 -9.838768
0d878a69-5fac-4d8c-8b5d-b08faffb2c6a 5 0 26 29 15.596373 101.15038 42.158195 0.46507937 8.240553 0.46507937 293 0.0 432.0 8640.0 -9.841285
eb06876c-aeef-4c4a-aa7a-a5b3b374e106 5 0 26 30 15.394471 293.4064 125.45837 0.4479718 7.857391 0.4479718 254 0.0 610.0 12200.0 -10.215899
8482a094-c74b-4993-9036-e2144f54aea0 5 0 26 31 14.299326 37.870872 320.10574 0.43080357 7.1700068 0.43080357 193 0.0 746.0 14920.0 -10.4344225
92fd2fcd-62e4-4308-a4c7-d6dc38340909 5 0 26 32 16.671755 4.948211 336.45087 0.6271605 7.857391 0.6271605 254 0.0 1145.0 22900.0 -10.899589
8658fd05-ad6c-4d91-9a3a-2754f1925a8f 5 0 26 33 16.39228 153.20848 444.26227 0.52916664 7.857391 0.52916664 254 0.0 1040.0 20800.0 -10.795158
c874b5d6-2d7d-483b-90b9-05d361559ae2 5 0 26 34 15.0 232.90532 16.23948 0.4888393 7.4785113 0.4888393 219 0.0 522.0 10440.0 -10.046751
3f0b3447-23a4-45c2-847d-e40bd09317dd 5 0 26 35 15.284979 174.94469 40.403793 0.6481481 6.939792 0.6481481 175 0.0 2116.0 42320.0 -11.566364
9aa15dd1-643d-4644-b88e-17512ac2a7c4 5 0 26 36 16.196123 59.621525 505.06274 0.47833332 8.183914 0.47833332 287 0.0 629.0 12580.0 -10.249202
1566e725-87b7-4a3e-849e-e9243d11b4ff 5 0 26 37 16.217371 142.52037 481.65622 0.525463 7.568487 0.525463 227 0.0 544.0 10880.0 -10.091572
1f893235-ab44-4657-9bf5-75f224db3c09 5 0 26 38 16.691366 342.28253 41.05776 0.46707818 7.568487 0.46707818 227 0.0 4791.0 95820.0 -12.45364
59f39a5a-9d2b-4597-8754-3178f0d15ecf 5 0 26 39 17.71831 478.67273 97.76646 0.56296295 7.5795846 0.56296295 228 0.0 1555.0 31100.0 -11.231901
95330a5d-0eed-4f83-87a8-a159a1551529 5 0 27 0 7.459174 148.56514 425.0013 0.5833333 7.37463 0.5833333 210 0.0 8131.0083 162620.16 -13.027936
612a8cca-9b67-4d02-89ed-a3d8a3bd21e1 5 0 27 1 9.01551 79.04416 138.96233 0.5671296 7.7634687 0.5671296 245 0.0 1125.8652 22517.305 -10.881291
eceda3d9-5d0c-484a-a198-8ecd7236d9fc 5 0 27 2 8.835001 241.42471 162.03983 0.43809524 8.077993 0.43809524 276 0.0 817.017 16340.34 -10.533153
908246cf-62a0-451f-bc9e-66b31343f629 5 0 27 3 6.8647504 491.84274 191.95952 0.6354167 7.752892 0.6354167 244 0.0 386.29553 7725.9106 -9.719874
